,OrderNumber,OrderDate,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost,ProductIndex,Category,CustomerIndex,CustomerNames,Emails,HeadOfficeIndex,RegionIndex,City,Country
0,SO - 000101,41791,Distributor,USD,NXH382,47,5,1963.1,9815.5,1001.181,12,garden & outdoor,59,Gabvine Ltd,aturner9s@webs.com,64,47,Glasgow,UK
1,SO - 000102,41791,Wholesale,USD,GUT930,36,5,3939.6,19698.0,3348.66,13,beauty make-up,33,Cadila Ltd,joliver2c@usda.gov,36,36,Kraków,Poland
2,SO - 000103,41791,Export,USD,GUT930,39,10,1775.5,17755.0,781.22,5,sports & fitness,8,Amerisourc Corp,kcarr11@ustream.tv,23,39,Leeds,UK
3,SO - 000104,41791,Export,USD,AXW291,20,6,2324.9,13949.4,1464.687,11,toy & kids products,76,NARS Group,bhamilton70@multiply.com,27,20,Dnepropetrovsk,Ukraine
4,SO - 000105,41791,Wholesale,USD,AXW291,20,6,1822.4,10934.4,1476.144,7,men's & women's clothing,143,Mita Corp,rfoxlk@slideshare.net,2,20,Dnepropetrovsk,Ukraine
5,SO - 000106,41791,Wholesale,USD,NXH382,52,6,1038.5,6231.0,446.555,13,beauty make-up,124,Roomm Company,hbishop6d@goodreads.com,15,52,Stuttgart,Germany
6,SO - 000107,41791,Distributor,USD,AXW291,1,10,1192.6,11926.0,536.67,12,garden & outdoor,151,Snaptags Ltd,jsullivangr@sun.com,57,1,LONDON,UK
7,SO - 000108,41791,Distributor,USD,NXH382,51,10,1815.7,18157.0,1525.188,7,men's & women's clothing,20,Tagfeed Ltd,srichardson8l@ucla.edu,56,51,Dortmund,Germany
8,SO - 000109,41792,Wholesale,USD,NXH382,54,7,3879.3,27155.1,2211.201,2,books,121,Tambee Company,hturnerw@answers.com,47,54,Poznan,Poland
9,SO - 000110,41792,Wholesale,USD,NXH382,47,6,1956.4,11738.4,1212.968,7,men's & women's clothing,110,Holston Company,chamilton3z@geocities.jp,34,47,Glasgow,UK
10,SO - 000111,41792,Export,USD,AXW291,3,12,201.0,2412.0,124.62,6,grocery & gourmet foods,130,Jayo Company,mreyes1q@umn.edu,53,3,MADRID,Spain
11,SO - 000112,41792,Distributor,USD,AXW291,28,8,6277.9,50223.2,2762.276,11,toy & kids products,144,Wordpedia Ltd,kmurray1y@go.com,12,28,Zaporozhye,Ukraine
12,SO - 000113,41792,Export,USD,NXH382,57,7,1051.9,7363.3,641.659,5,sports & fitness,130,Jayo Company,mreyes1q@umn.edu,53,57,HELSINKI,Finland
13,SO - 000114,41792,Export,USD,NXH382,53,9,254.6,2291.4,216.41,12,garden & outdoor,27,Wise Company,bmatthewsm@dot.gov,28,53,VILNIUS,Lithuania
14,SO - 000115,41792,Distributor,USD,AXW291,25,5,3932.9,19664.5,3146.32,3,electronics,63,Pfizer Corp,cwillis4l@answers.com,26,25,Köln (Cologne),Germany
15,SO - 000116,41792,Wholesale,USD,FLR025,64,10,1112.2,11122.0,700.686,9,health & personal care,110,Holston Company,chamilton3z@geocities.jp,34,64,Mykolaiv,Ukraine
16,SO - 000117,41792,Wholesale,USD,NXH382,58,12,1239.5,14874.0,904.835,15,pet supplies,110,Holston Company,chamilton3z@geocities.jp,34,58,Málaga,Spain
17,SO - 000118,41792,Export,USD,AXW291,4,12,984.9,11818.8,393.96,4,furniture,156,Actavis Company,jkimw@netscape.com,22,4,ROMA,Italy
18,SO - 000119,41792,Distributor,USD,FLR025,63,5,5581.1,27905.5,4130.014,15,pet supplies,41,Pixoboo Corp,gpalmer43@hexun.com,25,63,Hannover,Germany
19,SO - 000120,41792,Wholesale,USD,AXW291,25,8,3095.4,24763.2,1795.332,2,books,4,Eire Corp,rgreene16@deviantart.com,64,25,Köln (Cologne),Germany
20,SO - 000121,41792,Export,USD,GUT930,35,8,2278.0,18224.0,1754.06,15,pet supplies,112,Skiptube Ltd,jmcdonaldbb@disqus.com,35,35,STOCKHOLM,Sweden
21,SO - 000122,41793,Export,USD,NXH382,51,12,991.6,11899.2,654.456,10,accessories,90,Aimbo Corp,criveramf@mysql.com,49,51,Dortmund,Germany
22,SO - 000123,41793,Distributor,USD,AXW291,4,6,3979.8,23878.8,3064.446,9,health & personal care,109,WOCKHARDT Group,mcarter8x@feedburner.com,19,4,ROMA,Italy
23,SO - 000124,41793,Wholesale,USD,GUT930,40,12,1969.8,23637.6,866.712,14,musical instruments,52,Avamba Company,abradleyag@patch.com,46,40,Kryvy Rig,Ukraine
24,SO - 000125,41793,Wholesale,USD,GUT930,31,12,268.0,3216.0,131.32,9,health & personal care,127,Topco Company,phenry4a@samsung.com,4,31,RIGA,Latvia
25,SO - 000126,41793,Wholesale,USD,AXW291,20,11,174.2,1916.2,95.81,4,furniture,133,Mydo Corp,rramoshq@jugem.jp,54,20,Dnepropetrovsk,Ukraine
26,SO - 000127,41793,Distributor,USD,GUT930,42,6,2988.2,17929.2,2510.088,13,beauty make-up,116,Epic Group,sruizd@wikia.com,44,42,Palermo,Italy
27,SO - 000128,41793,Wholesale,USD,GUT930,43,11,3999.9,43998.9,2679.933,2,books,20,Tagfeed Ltd,srichardson8l@ucla.edu,56,43,KISHINEV,Moldova
28,SO - 000129,41793,Distributor,USD,AXW291,18,10,5976.4,59764.0,2450.324,7,men's & women's clothing,130,Jayo Company,mreyes1q@umn.edu,53,18,PRAHA (Prague),Czech Republic
29,SO - 000130,41793,Wholesale,USD,AXW291,19,6,2901.1,17406.6,2378.902,12,garden & outdoor,103,Skajo Ltd,vwatkins8z@unblog.fr,36,19,SOFIA,Bulgaria
30,SO - 000131,41794,Distributor,USD,NXH382,55,7,6076.9,42538.3,2734.605,4,furniture,133,Mydo Corp,rramoshq@jugem.jp,54,55,Düsseldorf,Germany
31,SO - 000132,41794,Distributor,USD,NXH382,55,6,5735.2,34411.2,4186.696,6,grocery & gourmet foods,51,Yombu Corp,dfox1t@reuters.com,13,55,Düsseldorf,Germany
32,SO - 000133,41794,Export,USD,GUT930,39,12,3919.5,47034.0,2077.335,6,grocery & gourmet foods,175,SHISEIDO Ltd,rreyesqw@list-manage.com,1,39,Leeds,UK
33,SO - 000134,41794,Distributor,USD,FLR025,66,8,6083.6,48668.8,3832.668,8,car & motorbike,117,ALK-Abello Ltd,jwelch37@bigcartel.com,30,66,KOBENHAVN (Copenhagen),Denmark
34,SO - 000135,41794,Wholesale,USD,FLR025,61,5,2566.1,12830.5,1642.304,5,sports & fitness,42,Colgate-Pa Group,dmorrisf1@google.pl,20,61,SARAJEVO,Bosnia
35,SO - 000136,41794,Wholesale,USD,AXW291,15,10,2278.0,22780.0,1093.44,9,health & personal care,166,Brainspher Ltd,hfowler6h@xinhuanet.com,39,15,Barcelona,Spain
